job,location,salary_med,demand,lon,lat
Software Developer / Engineer,"New York City, NY",101864,5,-74.005974,40.712776
Software Developer / Engineer,"Los Angeles, CA",99070,5,-118.243683,34.052235
Software Developer / Engineer,"San Francisco, CA",107685,5,-122.419418,37.774929
Software Developer / Engineer,"San Jose, CA",110900,5,-121.88633,37.338207
Software Developer / Engineer,"Boston, MA",102571,5,-71.058884,42.360081
Software Developer / Engineer,"Chicago, IL",95953,5,-87.63245,41.88425
Software Developer / Engineer,"Houston, TX",93710,5,-95.36953,29.76079
Software Developer / Engineer,"Phoenix, AZ",92511,5,-112.0758,33.44826
Software Developer / Engineer,"Philadelphia, PA",93860,5,-75.16218,39.95223
Software Developer / Engineer,"San Antonio, TX",87640,5,-98.49461,29.42458
Software Developer / Engineer,"San Diego, CA",96887,5,-117.16171,32.71568
Software Developer / Engineer,"Dallas, TX",95500,5,-96.79512,32.77823
Software Developer / Engineer,"Indianapolis, IN",87236,5,-86.14996,39.76691
Software Developer / Engineer,"Washington, DC",97807,5,-77.03196,38.89037
Software Developer / Engineer,"Miami, FL",91087,5,-80.19773,25.77481
Software Developer / Engineer,"Pittsburgh, PA",87314,5,-79.99734,40.43851
Software Developer / Engineer,"New York City, NY",101864,5,-74.005974,40.712776
Software Developer / Engineer,"Los Angeles, CA",99070,5,-118.243683,34.052235
Software Developer / Engineer,"San Francisco, CA",107685,5,-122.419418,37.774929
Software Developer / Engineer,"San Jose, CA",110900,5,-121.88633,37.338207
Software Developer / Engineer,"Boston, MA",102571,5,-71.058884,42.360081
Software Developer / Engineer,"Chicago, IL",95953,5,-87.63245,41.88425
Software Developer / Engineer,"Houston, TX",93710,5,-95.36953,29.76079
Software Developer / Engineer,"Phoenix, AZ",92511,5,-112.0758,33.44826
Software Developer / Engineer,"Philadelphia, PA",93860,5,-75.16218,39.95223
Software Developer / Engineer,"San Antonio, TX",87640,5,-98.49461,29.42458
Software Developer / Engineer,"San Diego, CA",96887,5,-117.16171,32.71568
Software Developer / Engineer,"Dallas, TX",95500,5,-96.79512,32.77823
Software Developer / Engineer,"Indianapolis, IN",87236,5,-86.14996,39.76691
Software Developer / Engineer,"Washington, DC",97807,5,-77.03196,38.89037
Software Developer / Engineer,"Miami, FL",91087,5,-80.19773,25.77481
Software Developer / Engineer,"Pittsburgh, PA",87314,5,-79.99734,40.43851
Software Developer / Engineer,"Montgomery, AL",90199,5,-86.279118,32.361538
Software Developer / Engineer,"Little Rock, AR",78396,5,-92.331122,34.736009
Software Developer / Engineer,"Sacramento, CA",97333,5,-121.468926,38.555605
Software Developer / Engineer,"Denver, CO",94755,5,-104.984167,39.7391667
Software Developer / Engineer,"Hartford, CT",93017,5,-72.677,41.767
Software Developer / Engineer,"Dover, DE",83262,5,-75.526755,39.161921
Software Developer / Engineer,"Tallahassee, FL",75394,5,-84.27277,30.4518
Software Developer / Engineer,"Atlanta, GA",97614,5,-84.39,33.76
Software Developer / Engineer,"Boise, ID",84301,5,-116.237651,43.613739
Software Developer / Engineer,"Springfield, IL",86263,5,-89.650373,39.78325
Software Developer / Engineer,"Des Moines, IA",90626,5,-93.620866,41.590939
Software Developer / Engineer,"Topeka, KS",79417,5,-95.69,39.04
Software Developer / Engineer,"Frankfort, KY",81761,5,-84.86311,38.197274
Software Developer / Engineer,"Baton Rouge, LA",84483,5,-91.140229,30.45809
Software Developer / Engineer,"Augusta, GA",75542,5,-69.765261,44.323535
Software Developer / Engineer,"Annapolis, MD",94554,5,-76.501157,38.972945
Software Developer / Engineer,"Lansing, MI",81626,5,-84.5467,42.7335
Software Developer / Engineer,"Saint Paul, MN",88552,5,-93.094,44.95
Software Developer / Engineer,"Jefferson City, MO",85935,5,-92.189283,38.572954
Software Developer / Engineer,"Lincoln, NE",77449,5,-96.675345,40.809868
Software Developer / Engineer,"Carson City, NV",81983,5,-119.753877,39.160949
Software Developer / Engineer,"Concord, NH",84772,5,-71.549127,43.220093
Software Developer / Engineer,"Trenton, NJ",95410,5,-74.756138,40.221741
Software Developer / Engineer,"Santa Fe, NM",75845,5,-105.964575,35.667231
Software Developer / Engineer,"Albany, NY",90247,5,-73.781339,42.659829
Software Developer / Engineer,"Raleigh, NC",92898,5,-78.638,35.771
Software Developer / Engineer,"Bismarck, ND",81914,5,-100.779004,48.813343
Software Developer / Engineer,"Columbus, OH",93620,5,-83.000647,39.962245
Software Developer / Engineer,"Oklahoma City, OK",77412,5,-97.534994,35.482309
Software Developer / Engineer,"Salem, OR",78225,5,-123.029159,44.931109
Software Developer / Engineer,"Providence, RI",94087,5,-71.422132,41.82355
Software Developer / Engineer,"Columbia, SC",87317,5,-81.035,34.0
Software Developer / Engineer,"Pierre, SD",83241,5,-100.336378,44.367966
Software Developer / Engineer,"Nashville, TN",88322,5,-86.784,36.165
Software Developer / Engineer,"Austin, TX",97600,5,-97.75,30.266667
Software Developer / Engineer,"Salt Lake City, UT",88158,5,-111.892622,40.7547
Software Developer / Engineer,"Montpelier, VT",86551,5,-72.57194,44.26639
Software Developer / Engineer,"Seattle, WA",100866,5,-122.332069,47.606209
Software Developer / Engineer,"Charleston, WV",84046,5,-81.633294,38.349497
Software Developer / Engineer,"Madison, WI",80713,5,-89.384444,43.074722
Software Developer / Engineer,"Cheyenne, WY",82245,5,-104.802042,41.145548
