location,job,salary_med,demand
"Saint Paul, MN",Software Developer / Engineer,88552,5
"Saint Paul, MN",IT manager,98853,3
"Saint Paul, MN",Web Developer,83265,3
"Saint Paul, MN",Database Administrator,79810,4
"Saint Paul, MN",Cyber Security Analyst,77922,3
"Saint Paul, MN",Systems Analyst,85524,3
"Saint Paul, MN",Network Engineer / Architect,112935,4
"Saint Paul, MN",Integrated Circuit (IC) Design Engineer,103064,2
"Saint Paul, MN",Hardware Design Engineer,95982,2
"Saint Paul, MN",Embedded Software Engineer,95946,3
"Saint Paul, MN",Electrical Design Engineer,80958,3
"Saint Paul, MN",Telecommunications Network Technician,31650,2
"Saint Paul, MN",Data Scientist,109689,3
